List,reference,Source,plant,Cultivar,compound,subC,family,Class,concentration,SD,unit,plant_part,plant_material,method,Season,location,year,DM,percDM,n,Treatment,T.conc
327,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Hyperoside,Hyperoside,Flavonol,Flavonoid,1209.2,10.7,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
328,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Isorhamnetin,Isorhamnetin,Flavonol,Flavonoid,18.58,0.85,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
329,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Rutin,Quercetin_Gly,Flavonol,Flavonoid,4.36,0.28,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
330,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Gallic_acid,Gallic_acid,Phenolic_acid,Phenolic_acid,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
331,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Ellagic_acid,Ellagic_acid,Phenolic_acid,Phenolic_acid,7.8,0.55,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
332,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
333,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Pinocembrin,Pinocembrin,Flavonoid,Flavonoid,0.52,0.02,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
334,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Apigenin,Apigenin,Flavone,Flavonoid,8.35,0.67,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
335,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Pinstrobin,Pinstrobin,Flavonoid,Flavonoid,1.52,0.32,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
336,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Kaempferol,Kaempferol,Flavonol,Flavonoid,328,9.2,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
337,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Hesperitin,Hesperitin,Flavanone,Flavonoid,14.79,1.02,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
338,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Genistein,Genistein,Isoflavonoid,Phytoestrogen,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
339,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Naringenin,Naringenin,Flavanone,Flavonoid,0.32,0.01,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
340,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Quercetin ,Quercetin ,Flavonol,Flavonoid,1108.64,9.5,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
341,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
342,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
343,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,,,,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,,,
344,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Crysin,Crysin,Flavonoid,Flavonoid,1.53,0.4,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
345,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Abscisic_acid,Abscisic_acid,Phenolic_acid,Phenolic_acid,0.61,0.3,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
346,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Total_phenols,Total_phenols,Polyphenol,Polyphenol,2974.6,1.32,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
347,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Catechin,Catechin,Flavanol,Flavonoid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
348,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Caffeic_acid,Caffeic_acid,Phenolic_acid,Phenolic_acid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
349,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Myricetin,Myricetin,Flavonol,Flavonoid,56.3,2.45,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
350,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,p_Coumaric_acid,Coumaric_acid,Phenolic_acid,Phenolic_acid,15.2,0.75,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
351,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Syringic_acid,Syringic_acid,Phenolic_acid,Phenolic_acid,2.8,0.14,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
352,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Genistin,Genistin,Isoflavonoid,Phytoestrogen,1.04,0.7,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
353,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Chlorogenic_acid,Chlorogenic_acid,Phenolic_acid,Phenolic_acid,2.48,0.07,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
354,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Ferulic_acid,Ferulic_acid,Phenolic_acid,Phenolic_acid,50.1,4.01,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
355,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Hyperoside,Hyperoside,Flavonol,Flavonoid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
356,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Isorhamnetin,Isorhamnetin,Flavonol,Flavonoid,15.24,1.45,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
357,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Rutin,Quercetin_Gly,Flavonol,Flavonoid,3.92,0.25,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
358,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Gallic_acid,Gallic_acid,Phenolic_acid,Phenolic_acid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
359,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Ellagic_acid,Ellagic_acid,Phenolic_acid,Phenolic_acid,6.9,0.21,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
360,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,2.24,0.06,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
361,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Pinocembrin,Pinocembrin,Flavonoid,Flavonoid,5.12,0.11,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
362,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Apigenin,Apigenin,Flavone,Flavonoid,33.43,1.44,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
363,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Pinstrobin,Pinstrobin,Flavonoid,Flavonoid,6.92,0.41,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
364,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Kaempferol,Kaempferol,Flavonol,Flavonoid,6.72,0.1,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
365,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Hesperitin,Hesperitin,Flavanone,Flavonoid,75.9,2.1,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
366,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Genistein,Genistein,Isoflavonoid,Phytoestrogen,10.96,0.42,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
367,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Naringenin,Naringenin,Flavanone,Flavonoid,0.52,0.11,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
368,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Quercetin ,Quercetin ,Flavonol,Flavonoid,138.96,5.3,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
369,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,6.1,0.12,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
370,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
371,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,12.44,,,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
372,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Crysin,Crysin,Flavonoid,Flavonoid,2,0.47,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
373,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Abscisic_acid,Abscisic_acid,Phenolic_acid,Phenolic_acid,,0.08,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
374,Chiriac_et_al2020,Journal_article,Medicago_sativa,Unknown,Total_phenols,Total_phenols,Polyphenol,Polyphenol,455.4,5.01,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
375,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Catechin,Catechin,Flavanol,Flavonoid,134.6,5.8,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
376,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Caffeic_acid,Caffeic_acid,Phenolic_acid,Phenolic_acid,16,1.76,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
377,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Myricetin,Myricetin,Flavonol,Flavonoid,199.5,6.5,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
378,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,p_Coumaric_acid,Coumaric_acid,Phenolic_acid,Phenolic_acid,19.48,1.086,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
379,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Syringic_acid,Syringic_acid,Phenolic_acid,Phenolic_acid,16.11,1.14,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
380,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Genistin,Genistin,Isoflavonoid,Phytoestrogen,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
381,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Chlorogenic_acid,Chlorogenic_acid,Phenolic_acid,Phenolic_acid,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
382,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Ferulic_acid,Ferulic_acid,Phenolic_acid,Phenolic_acid,175.48,6.8,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
383,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Hyperoside,Hyperoside,Flavonol,Flavonoid,750.9,10.02,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
384,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Isorhamnetin,Isorhamnetin,Flavonol,Flavonoid,28.6,0.52,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
385,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Rutin,Quercetin_Gly,Flavonol,Flavonoid,16,0.9,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
386,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Gallic_acid,Gallic_acid,Phenolic_acid,Phenolic_acid,2,0.04,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
387,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Ellagic_acid,Ellagic_acid,Phenolic_acid,Phenolic_acid,9.08,0.06,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
388,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,14.8,1.03,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
389,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Pinocembrin,Pinocembrin,Flavonoid,Flavonoid,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
390,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Apigenin,Apigenin,Flavone,Flavonoid,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
391,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Pinstrobin,Pinstrobin,Flavonoid,Flavonoid,1.6,0.14,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
392,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Kaempferol,Kaempferol,Flavonol,Flavonoid,78.8,3.8,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
393,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Hesperitin,Hesperitin,Flavanone,Flavonoid,2824.8,8.5,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
394,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Genistein,Genistein,Isoflavonoid,Phytoestrogen,28.76,2.06,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
395,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Naringenin,Naringenin,Flavanone,Flavonoid,1.32,0.7,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
396,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Quercetin ,Quercetin ,Flavonol,Flavonoid,6714,9.54,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
397,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,2.49,1.05,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
398,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
399,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,,,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
400,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Crysin,Crysin,Flavonoid,Flavonoid,1.09,0.1,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
401,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Abscisic_acid,Abscisic_acid,Phenolic_acid,Phenolic_acid,0.98,0.4,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
402,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Total_phenols,Total_phenols,Polyphenol,Polyphenol,11036.4,2.18,ug.gDM,rep.parts,rep.parts,UPLC_HRMS/MS,,Romania,,,,2,,
403,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Catechin,Catechin,Flavanol,Flavonoid,7,1.06,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
404,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Caffeic_acid,Caffeic_acid,Phenolic_acid,Phenolic_acid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
405,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Myricetin,Myricetin,Flavonol,Flavonoid,16.81,1.06,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
406,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,p_Coumaric_acid,Coumaric_acid,Phenolic_acid,Phenolic_acid,11.6,0.28,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
407,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Syringic_acid,Syringic_acid,Phenolic_acid,Phenolic_acid,2.19,0.04,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
408,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Genistin,Genistin,Isoflavonoid,Phytoestrogen,11.9,1.1,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
409,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Chlorogenic_acid,Chlorogenic_acid,Phenolic_acid,Phenolic_acid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
410,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Ferulic_acid,Ferulic_acid,Phenolic_acid,Phenolic_acid,101.48,6.9,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
411,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Hyperoside,Hyperoside,Flavonol,Flavonoid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
412,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Isorhamnetin,Isorhamnetin,Flavonol,Flavonoid,38.16,0.9,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
413,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Rutin,Quercetin_Gly,Flavonol,Flavonoid,140.2,6.95,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
414,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Gallic_acid,Gallic_acid,Phenolic_acid,Phenolic_acid,1.64,0.03,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
415,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Ellagic_acid,Ellagic_acid,Phenolic_acid,Phenolic_acid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
416,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,141.36,4.8,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
417,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Pinocembrin,Pinocembrin,Flavonoid,Flavonoid,0.28,0.01,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
418,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Apigenin,Apigenin,Flavone,Flavonoid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
419,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Pinstrobin,Pinstrobin,Flavonoid,Flavonoid,4.52,0.04,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
420,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Kaempferol,Kaempferol,Flavonol,Flavonoid,5.48,2.4,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
421,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Hesperitin,Hesperitin,Flavanone,Flavonoid,173.95,4.6,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
422,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Genistein,Genistein,Isoflavonoid,Phytoestrogen,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
423,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Naringenin,Naringenin,Flavanone,Flavonoid,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
424,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Quercetin ,Quercetin ,Flavonol,Flavonoid,1633.61,3.04,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
425,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,27,1.05,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
426,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,,,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
427,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,114.5,4.6,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
428,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Crysin,Crysin,Flavonoid,Flavonoid,1.1,0.4,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
429,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Abscisic_acid,Abscisic_acid,Phenolic_acid,Phenolic_acid,0.92,0.32,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
430,Chiriac_et_al2020,Journal_article,Trifolium_pratense,Unknown,Total_phenols,Total_phenols,Polyphenol,Polyphenol,2433.72,4.21,ug.gDM,sprout,sprout,UPLC_HRMS/MS,,Romania,,,,2,,day_5_germination
431,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,5_O_Caffeoylquinic_acid,Caffeoylquinic_acid,Phenolic_acid,Phenolic_acid,,,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
432,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Caffeic_acid,Caffeic_acid,Phenolic_acid,Phenolic_acid,,,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
433,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,p_Coumaric_acid,Coumaric_acid,Phenolic_acid,Phenolic_acid,14.4,0,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
434,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Ferulic_acid,Ferulic_acid,Phenolic_acid,Phenolic_acid,6,0,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
435,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Rutin,Quercetin_Gly,Flavonol,Flavonoid,,,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
436,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Cinnamic_acid,Cinnamic_acid,Phenolic_acid,Phenolic_acid,57.9,0.2,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
437,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Cynaroside,Cynaroside,Flavone,Flavonoid,1.5,0,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
438,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Kaempferol_3O_Rut,Kaempferol_Gly,Flavonol,Flavonoid,,,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
439,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Astragalin,Kaempferol_Gly,Flavonol,Flavonoid,,,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
440,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,luteolin_4O_Glc,Luteolin_Gly,Flavone,Flavonoid,17.4,0.1,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
441,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Total_phenols,Total_phenols,Polyphenol,Polyphenol,97.2,,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
442,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Betulin,Betulin,Sterol,Sterol,62.8,0.5,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
443,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Stigmasterol,Stigmasterol,Sterol,Sterol,3.2,0.3,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
444,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Campesterol,Campesterol,Sterol,Sterol,7.4,0.3,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
445,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,B_sitosterol,B_sitosterol,Sterol,Sterol,24,0.3,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
446,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,total_sterol_triterpenes ,Sterol_triterpenes ,Terpenoid,Terpenoid,160.4,,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
447,Silva_et_al.2013,Journal_article,Medicago_sativa,Unknown,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,664.3,0.4,mg.kgDM,sprout,sprout,HPLC_DAD,,Portugal,,,,,,
